Source.Name,Datetime,Tweet Id,Text,Username
tourism_healthcare.csv,02-05-20 2:46,1.25635E+18,"https://t.co/CzbLdbq2OM, Medical Tourism Agent Course, Medical Tourism Facilitator Course, Section Page News - Modern Healthcare May 01, 2020 at 11:31PMFDA allows emergency use of drug for coronavirus https://t.co/25KpVFEhE8",MedAgentAcademy
tourism_healthcare.csv,02-05-20 1:47,1.25634E+18,@TopGeneral1 Thank you. The major industry is healthcare and agri-banking. Tourism is big on western side of the state by Mt Rushmore,ImaGroucho
tourism_healthcare.csv,02-05-20 1:39,1.25634E+18,"Thread 😭

""We should focus on our priorities like Healthcare, education, employment, economic, tourism, production, start-up, sports, transport, arts etc"" 

#Maharashtra #Mumbai #COVID19 #MahaEmergency

@sardesairajdeep @waglenikhil @Zebaism @ThePrintIndia @timesofindia https://t.co/75umQQzM22",wajidachalpuri
tourism_healthcare.csv,02-05-20 1:17,1.25633E+18,"Business/industrial sector gonna most badly impacted due to #coronavirus
1) Tourism &amp; Travel / hotels 
2) Real estate ( already in ICU )
3) Auto sector 
4) Entertainment ( media )

Huge profitable post #COVID__19 
1) Healthcare &amp; Pharma
2) Beverages 
3) IT ( online work increase)",rituhmherbals
tourism_healthcare.csv,01-05-20 23:46,1.25631E+18,"https://t.co/20p0bpYzjt, Medical Tourism Agent Course, Medical Tourism Facilitator Course, Section Page News - Modern Healthcare May 01, 2020 at 10:31PMMost enlistees not eligible to join California Health Corps https://t.co/avZNfWV3TL",MedAgentAcademy
tourism_healthcare.csv,01-05-20 22:21,1.25629E+18,"Despite having a heavily underfunded healthcare system, Portugal has handled Covid-19 better than most in Europe. So much so, the Algarve’s tourism industry is moving towards the opening of hotels in time for summer. From May 18th, Portuguese restaurants will be allowed to open",marinovpeixoto
tourism_healthcare.csv,01-05-20 20:55,1.25627E+18,"Rural communities present several challenges in different sectors such as tourism, mobility, education, energy, farming &amp; #healthcare. 🚑

Our life of communities funding call is looking for innovative #space solutions to #connectivity in #rural areas 👇

https://t.co/aVWTYewrLz https://t.co/fn0zaJ0G8u",Space4Europe
tourism_healthcare.csv,01-05-20 20:28,1.25626E+18,"Along with being able to make an impact, teams have a chance of winning a share of USD 20,000.
Thematic Areas: Healthcare, Business &amp; Commerce, Food &amp; Security, Tourism, The Creative Industry.",SodiqFarhan
tourism_healthcare.csv,01-05-20 18:42,1.25623E+18,"How #Turkey - because of its robust #healthcare, strategic location, and diversified #economy - is emerging as the new hotspot for #property investment and healthcare tourism. Want to make Turkey your second home, we are ready when you are!

https://t.co/bX0XAOquP9",TurkeyPassport
tourism_healthcare.csv,01-05-20 18:25,1.25623E+18,"We celebrate International Labor and Solidarity Day, especially the healthcare workers who provide sacrificial service during this period when we deeply experience how important unity and solidarity are.

🌐 https://t.co/f1nA0Y50CQ

#cangezi #1May #LaborDay #medical #tourism https://t.co/gJH0FDa9Gh",Cangeziturizm
tourism_healthcare.csv,01-05-20 17:46,1.25622E+18,"Healthcare Economist, https://t.co/uPKPpJzGmP, Medical Tourism Agent Course, Medical Tourism Facilitator Course May 01, 2020 at 03:44PMFriday Links https://t.co/aB5GFqrDMc",MedAgentAcademy
tourism_healthcare.csv,01-05-20 13:12,1.25615E+18,"I am waiting for them to discuss ways to boost innovation in healthcare, biotechnology, medical tourism as a business.... https://t.co/jmKM0Y5LTN",niksdoc
tourism_healthcare.csv,01-05-20 13:01,1.25615E+18,"AsthaCorp is your one stop solution for infrastructure, tourism, hospitality, education, healthcare and publishing.
Log onto https://t.co/NNEjR55Wuh.

#asthacorp #infrastructure #travelandtourism #hospitality #healthcare #education #publishinghouse",asthacorp
tourism_healthcare.csv,01-05-20 12:30,1.25614E+18,"We will do this by:

1) removing all military bases
2) ensuring that tourism and other businesses benefit Ryukyuans
3) increasing foreign trade
4) diversifying our economy (i.e. finance, education, tech, healthcare, diplomacy)
5) making Ryukyu once again self-sustaining",robkajiwara
tourism_healthcare.csv,01-05-20 9:08,1.25609E+18,"RSCVA furloughs nearly half of staff as tourism remains halted
https://t.co/gILUNXJQYf
#seniors #seniorcare  #senior #seniorliving #assistedliving #homecare #dementia #seniorpictures #healthcare #eldercare #health #elderly",JInfo4us
tourism_healthcare.csv,01-05-20 9:07,1.25609E+18,"Great job..
#Medical #Tourism #healthcare #IndiaFightsCorona #USA #UK #Canada #UAE #SaudiArabia #Kuwait #Australian",MeditourSahi
tourism_healthcare.csv,01-05-20 8:58,1.25609E+18,"Stay Home... Stay Healthy
Break the Chain campaign to stop the spread of Corona Virus
#medicaltourism #healthcare #healthtourism #IndiaFightsCorona #Tourism #health https://t.co/RSB5b3lfSM",MeditourSahi
tourism_healthcare.csv,01-05-20 8:46,1.25608E+18,"Healthcare Economist, https://t.co/9xF792Gw68, Medical Tourism Agent Course, Medical Tourism Facilitator Course May 01, 2020 at 07:14AMQuotation of the Day: On IQ https://t.co/gcD5fZvU36",MedAgentAcademy
tourism_healthcare.csv,01-05-20 8:46,1.25608E+18,"https://t.co/foVu4g29NB, Medical Tourism Agent Course, Medical Tourism Facilitator Course, Section Page News - Modern Healthcare May 01, 2020 at 05:01AMCalifornia battle on malpractice caps delayed to 2022 ballot https://t.co/Mx98BJylV6",MedAgentAcademy
tourism_healthcare.csv,01-05-20 8:30,1.25608E+18,"@MauraDunst My husband and I use TD Ameritrade and did a combo of tech stocks, travel, tourism, medical/healthcare and mutual funds (real estate, natural resources, etc.) We figure the collective low would eventually recover and try to be diverse with investments! 😊",emilyscottrobin
tourism_healthcare.csv,01-05-20 7:37,1.25607E+18,"@lorentema @dwnews Cuba is doing good, and cuba has a good healthcare system.
Health tourism is an important business for Cuba, and many international patients get surgery in Cuba.",mysterylily2016
tourism_healthcare.csv,01-05-20 7:27,1.25606E+18,"SALUTE TO ALL COViD19 FIGHTERS whichever category you may! 👊💪 Healthcare, FoodManufacturing/retail, Agriculture, Fishery, Media, FinancialServices, BPO, Tourism or Ecommerce! 
I pray w/ all my ❤ we get wat we deserve all along! #Respect #LabourDay2020 #InternationalWorkersDay https://t.co/vygFpdhbeD",pebetamad
tourism_healthcare.csv,01-05-20 5:46,1.25604E+18,"https://t.co/FNNiyuKNSC, Medical Tourism Agent Course, Medical Tourism Facilitator Course, Section Page News - Modern Healthcare May 01, 2020 at 03:31AMCMS delivers key win for ACOs in emergency rule https://t.co/dAVeXh9pps",MedAgentAcademy
tourism_healthcare.csv,02-05-20 23:20,1.25666E+18,"@browofjustice @EHahnMD @BurgartBioethix @brianchiong (Super rural here, major jobs are tourism &amp; large machinery repair, healthcare)",Lumos_Marie
tourism_healthcare.csv,02-05-20 22:36,1.25665E+18,"@BBCBreaking Nice for them, but i would rather read his plan to eliminate the virus. Protect NHS, avoid second spike etc too weak. Go for zero transmissions. It’s the only way we can go forward with healthcare and jobs like dentistry etc. Then we can plan future with tourism.",Knewman_uk
tourism_healthcare.csv,02-05-20 20:44,1.25663E+18,"@FinPlanKaluAja1 I can't but agree less its a two side of the coin. Opportunities for new Investors to invest in fintechs,ict, logistics, agricbusiness, healthcare A disasters for hospitality, tourism, airlines, creative industry etc. It's clear,business models have to be expansive going forward",bryanbryanise
tourism_healthcare.csv,02-05-20 17:46,1.25658E+18,"https://t.co/7nhMAXIyJt, Medical Tourism Agent Course, Medical Tourism Facilitator Course, Section Page News - Modern Healthcare May 02, 2020 at 02:01PMTrying times for healthcare leaders https://t.co/jJeXV3FAiN",MedAgentAcademy
tourism_healthcare.csv,02-05-20 14:56,1.25654E+18,"GP and pharma companies can loot a patient. Due to this step, all citizens of India will get the best healthcare services at a very lower reasonable rate and the GDP of India will indirectly increase through medical tourism at lower reasonable rate.",parth1686
tourism_healthcare.csv,02-05-20 14:46,1.25654E+18,"https://t.co/ric8UtQDr3, Medical Tourism Agent Course, Medical Tourism Facilitator Course, Section Page News - Modern Healthcare May 02, 2020 at 11:01AMUninsured residents by state: 2020 https://t.co/ajOb5edaLZ",MedAgentAcademy
tourism_healthcare.csv,02-05-20 14:22,1.25653E+18,"@StatiSense ....Because they are the countries with the least attraction for;International Business, Education, Healthcare, Sports and Tourism.",aghedoprincewi4
tourism_healthcare.csv,02-05-20 14:11,1.25653E+18,"....Because they are the countries with the least attraction for;International Business, Education, Healthcare, Sports and Tourism. https://t.co/t5tUOqV8TW",aghedoprincewi4
tourism_healthcare.csv,02-05-20 13:52,1.25652E+18,We are a medical travel facilitator helping patients to engage in medical tourism in India. Follow our page to know more. #Mediflic #MedicalTourism #medicaltravel #healthcare https://t.co/qkNpvIsP2R,medifilic
tourism_healthcare.csv,02-05-20 12:49,1.25651E+18,"We welcome you to join us at our upcoming webinar Healthcare and Medical Tourism which is going to be held on May 5, 2020 https://t.co/ZBtTrQbTCt",Medical35654116
tourism_healthcare.csv,02-05-20 11:46,1.25649E+18,"https://t.co/S87MRf3Vcx, Medical Tourism Agent Course, Medical Tourism Facilitator Course, Section Page News - Modern Healthcare May 02, 2020 at 09:01AMCOVID-19 leaves primary care in dire straits https://t.co/8oYZkUZVzy",MedAgentAcademy
tourism_healthcare.csv,02-05-20 11:46,1.25649E+18,"https://t.co/7sySrt7Ix1, Medical Tourism Agent Course, Medical Tourism Facilitator Course, Section Page News - Modern Healthcare May 02, 2020 at 09:01AMSurgeon's distillery pumps out hand sanitizer https://t.co/sUNpAgTy7K",MedAgentAcademy
tourism_healthcare.csv,02-05-20 11:46,1.25649E+18,"https://t.co/jrVU7j8uIr, Medical Tourism Agent Course, Medical Tourism Facilitator Course, Section Page News - Modern Healthcare May 02, 2020 at 09:01AMQ&amp;A: Why primary care needs a prospective payment system https://t.co/UhAZ8gbdLm",MedAgentAcademy
tourism_healthcare.csv,02-05-20 11:46,1.25649E+18,"https://t.co/xbBLh3C9Fw, Medical Tourism Agent Course, Medical Tourism Facilitator Course, Section Page News - Modern Healthcare May 02, 2020 at 09:01AMLetters: Business as usual for healthcare payers? https://t.co/ERpkhNMVgA",MedAgentAcademy
tourism_healthcare.csv,02-05-20 11:00,1.25648E+18,"Key to Find the Best DHI Hair Transplant Solution in Antalya, Turkey : https://t.co/hKfEozZ2L4

#PlacidWay #Turkey #HairTransplant #Hair #FUE #medical #medicine #doctor #health #healthcare #hospital #doctors #surgery #surgeon #science #medicaltourism  #Travel #Tourism #Antalya https://t.co/ppoUb8aR4q",PlacidWay
tourism_healthcare.csv,02-05-20 10:59,1.25648E+18,"@RichardBurgon There are a multitude of complex reasons, enrionmental, demographics, diversity, the way we support the vulnerable to Covid19, the migration of diagnostics within healthcare, tourism, the list is endless. However I have a sneaking feeling you want to concentrate on only one.",AllmarkRichard
